"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.63252e+004,-3.32187e+002,1.98584e+000,-1.24149e+000,1.38687e+001,7.19912e+000,1.73258e+000,1,2.04000e+002,-1.79600e+003,0.00000e+000,0.00000e+000
-8.63099e+004,-3.32263e+002,1.83407e+000,-7.76406e-001,1.38023e+001,7.17053e+000,1.73126e+000,1,2.08000e+002,-1.79200e+003,0.00000e+000,0.00000e+000
-8.62947e+004,-3.32339e+002,1.68230e+000,-3.11324e-001,1.37359e+001,7.14194e+000,1.72995e+000,1,2.12000e+002,-1.78800e+003,0.00000e+000,0.00000e+000
-8.62795e+004,-3.32415e+002,1.53053e+000,1.53758e-001,1.36695e+001,7.11335e+000,1.72863e+000,1,2.16000e+002,-1.78400e+003,0.00000e+000,0.00000e+000
-8.62643e+004,-3.32491e+002,1.37876e+000,6.18840e-001,1.36031e+001,7.08476e+000,1.72732e+000,1,2.20000e+002,-1.78000e+003,0.00000e+000,0.00000e+000
-8.62491e+004,-3.32567e+002,1.22699e+000,1.08392e+000,1.35367e+001,7.05617e+000,1.72600e+000,1,2.24000e+002,-1.77600e+003,0.00000e+000,0.00000e+000
-8.62339e+004,-3.32643e+002,1.07522e+000,1.54900e+000,1.34703e+001,7.02758e+000,1.72469e+000,1,2.28000e+002,-1.77200e+003,0.00000e+000,0.00000e+000
-8.62187e+004,-3.32719e+002,9.23450e-001,2.01409e+000,1.34039e+001,6.99899e+000,1.72337e+000,1,2.32000e+002,-1.76800e+003,0.00000e+000,0.00000e+000
-8.62035e+004,-3.32795e+002,7.71681e-001,2.47917e+000,1.33375e+001,6.97040e+000,1.72206e+000,1,2.36000e+002,-1.76400e+003,0.00000e+000,0.00000e+000
-8.61883e+004,-3.32871e+002,6.19911e-001,2.94425e+000,1.32712e+001,6.94181e+000,1.72075e+000,1,2.40000e+002,-1.76000e+003,0.00000e+000,0.00000e+000
-8.61924e+004,-3.32835e+002,6.26899e-001,2.80971e+000,1.32622e+001,6.93215e+000,1.72188e+000,1,2.44000e+002,-1.75600e+003,0.00000e+000,0.00000e+000
-8.61965e+004,-3.32799e+002,6.33887e-001,2.67518e+000,1.32533e+001,6.92249e+000,1.72302e+000,1,2.48000e+002,-1.75200e+003,0.00000e+000,0.00000e+000
-8.62006e+004,-3.32763e+002,6.40875e-001,2.54064e+000,1.32443e+001,6.91283e+000,1.72416e+000,1,2.52000e+002,-1.74800e+003,0.00000e+000,0.00000e+000
-8.62047e+004,-3.32727e+002,6.47863e-001,2.40611e+000,1.32354e+001,6.90317e+000,1.72530e+000,1,2.56000e+002,-1.74400e+003,0.00000e+000,0.00000e+000
-8.62088e+004,-3.32691e+002,6.54851e-001,2.27157e+000,1.32264e+001,6.89351e+000,1.72644e+000,1,2.60000e+002,-1.74000e+003,0.00000e+000,0.00000e+000
-8.62129e+004,-3.32655e+002,6.61839e-001,2.13704e+000,1.32175e+001,6.88386e+000,1.72758e+000,1,2.64000e+002,-1.73600e+003,0.00000e+000,0.00000e+000
-8.62170e+004,-3.32619e+002,6.68827e-001,2.00250e+000,1.32085e+001,6.87420e+000,1.72872e+000,1,2.68000e+002,-1.73200e+003,0.00000e+000,0.00000e+000
-8.62211e+004,-3.32583e+002,6.75815e-001,1.86797e+000,1.31995e+001,6.86454e+000,1.72986e+000,1,2.72000e+002,-1.72800e+003,0.00000e+000,0.00000e+000
-8.62252e+004,-3.32548e+002,6.82803e-001,1.73343e+000,1.31906e+001,6.85488e+000,1.73100e+000,1,2.76000e+002,-1.72400e+003,0.00000e+000,0.00000e+000
